"FDD3364","<p>Students taking the course should definitely be acquainted with the basics of mathematical statistics,&#160; linear algebra and have taken some introductory courses in machine learning.</p><p>This course will be open to any PhD student at KTH. Potentially advanced and interested master students could also attend, however, they would have to consult the course leader before doing so. It should also be noted that the course is not an introductory one and will cover a lot of material. Therefore it is really recommended that only students with an appropriate background take the course.</p>","<p>Students taking the course should definitely be acquainted with the basics of mathematical statistics,&#160; linear algebra and have taken some introductory courses in machine learning.</p><p>This course will be open to any PhD student at KTH. Potentially advanced and interested master students could also attend, however, they would have to consult the course leader before doing so. It should also be noted that the course is not an introductory one and will cover a lot of material. Therefore it is really recommended that only students with an appropriate background take the course.</p>"
"ML1343",NULL,NULL
"FCB3054",NULL,NULL
"FDD3360",NULL,NULL
"FCB3071",NULL,NULL
"ML1330",NULL,NULL
"MJ2415",NULL,NULL
"ML1332",NULL,NULL
"FDD3370","<p>Ett kompilerat spr&#229; (t.ex. C, C++ eller Fortran 90) och ett interpreterat spr&#229;k (t.ex. Python).</p>",NULL
"FCB3074",NULL,NULL
"SD2230","<p>Kursen riktar sig till studenter i slutet av sina civilingenj&#246;rs- eller Master studier d&#228;r tidigare kurser och erfarenheter om fordonsdynamik, reglerteknik, mekatronik och maskinteknik &#228;r att rekommendera.</p>","<p>The course are for students in the end of their civilingenj&#246;r och master studies where previous courses and experience from vehicle dynamics, automatic control, mechatronics and mashine design is to recommend.</p>"
"FCB3041",NULL,NULL
"FDD3375","<p>Grundl&#228;ggande kurser i numeriska metoder, och algoritmer och datastrukturer.</p>",""
"FDD3372",NULL,NULL
"AI1527",NULL,NULL
"FCB3042",NULL,NULL
"AF1021",NULL,NULL
"AF1031",NULL,NULL
"MG101X","<p>Allm&#228;nt g&#228;ller att en huvuddel av studierna, minst 108 h&#246;gskolepo&#228;ng varav 60 h&#246;gskolepo&#228;ng med successiv f&#246;rdjupning p&#229; grundniv&#229; inom huvudomr&#229;det skall vara avklarade innan examensarbetet f&#229;r p&#229;b&#246;rjas. Det &#229;ligger examinator att tillse att studenten har l&#228;mplig &#228;mnesf&#246;rdjupning samt att studenten avklarat tillr&#228;cklig del av studierna innan examensarbetet p&#229;b&#246;rjas. Dispens kan efter pr&#246;vning beviljas av grundutbildningsansvarig.</p>","<p>In general, the major portion of studies, at least 108 credits including 60 credits with increasingly in-depth at the first level in the main field should be completed before the thesis work may commence. It is for the examiner to ensure that the student has adequate depth and substance to the student done sufficient part of the studies exam before starting work. Waivers may be granted after review of undergraduate studies.</p>"
"FAG5124","<p>Advanced Theory of Errors</p><p>Satellite Positioning</p>","<p>Advanced Theory of Errors</p><p>Satellite Positioning</p>"
"FAG5125","<p>Advanced Physical Geodesy</p><p>Satellite gravimetry</p><p>Satellite Positioning</p><p>1N5113 Theory of Science and Research Methods, Technological and Natural Sciences.</p>","<p>Advanced Physical Geodesy</p><p>Satellite gravimetry</p><p>Satellite Positioning</p><p>1N5113 Theory of Science and Research Methods, Technological and Natural Sciences.</p>"
"FCB3043",NULL,NULL
"AI250U",NULL,NULL
"FCB3044",NULL,NULL
"DM2586",NULL,NULL
"AF1032",NULL,NULL
"AF103V","<p>Grundl&#228;ggande beh&#246;righet f&#246;r h&#246;gskolestudier</p>","<p>General entry requirements for higher education</p>"
"KD2910",NULL,NULL
"KE0110",NULL,NULL
"AF103U",NULL,NULL
"ML2303",NULL,NULL
"MH2049",NULL,NULL
"AF104V",NULL,NULL
"MG1028",NULL,NULL
"EI1360",NULL,NULL
"HL1002",NULL,NULL
"MG1011","<p>Grundl&#228;ggande beh&#246;righet samt 120 hp p&#229; ingenj&#246;rsprogram samt MG1010 Svetsteknologi, ak, eller motsvarande</p>","<p>Basic eligibility and 120 cr in Engineering plus basic course in Welding Technology, MG1010 or corresponding</p>"
"FSK3913","<p>Doktorand p&#229; KTH</p>","<p>PhD student at KTH</p>"
"FMJ3749",NULL,NULL
"FAG5129","<p>Matematisk statistik. Linj&#228;r algebra.</p>","<p>Mathematical statistics. Linear algebra.</p>"
"AF105V","<p>Naturvetenskapliga baskunskaper, exempelvis en ingenj&#246;rsutbildning.</p>","<p>Basics in natural sciences, or engineering on upper secondary level</p>"
"ML2306",NULL,NULL
"ML230X",NULL,NULL
"LS1563",NULL,NULL
"FAG5131","<p>Felteori FAG5129</p><p>GNSS-kurs FAG5123</p>","<p>Felteori FAG5129</p><p>GNSS-kurs FAG5123</p>"
"SD2711",NULL,NULL
"FAK3006",NULL,NULL
"AK1203","<p>Inga s&#228;rskilda f&#246;rkunskaper rekommenderas.</p>","<p>No recommended prerequisites.</p>"
